,DOW,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,DAILY_DELAY_LENGTH,DAILY_DELAY_COST,PROFIT
0,Thursday,702.0,738.0,2167.0,64141.95,3804466.77
1,Friday,1041.0,1038.0,9848.0,232357.15000000002,5371834.37
2,Saturday,934.0,938.0,20159.0,445986.51000000007,4895505.41
3,Sunday,1022.0,1016.0,23740.0,512668.65,5436891.89
4,Monday,998.0,1001.0,9631.0,244193.6,5258535.390000001
5,Tuesday,949.0,951.0,11544.0,251112.71,4901224.48
6,Wendsday,982.0,987.0,6174.0,156640.5,5113459.83
7,Thursday,1003.0,999.0,8767.0,230800.65000000002,5265390.659999999
8,Friday,1003.0,1010.0,7964.0,205500.45,5279655.949999999
9,Saturday,750.0,742.0,3072.0,111332.2,3873165.7799999993
10,Sunday,940.0,945.0,6076.0,174681.75,4907866.499999999
11,Monday,993.0,1004.0,58368.0,990188.7,4939248.26
12,Tuesday,948.0,957.0,6649.0,154334.05,4912764.680000001
13,Wendsday,989.0,996.0,5762.0,163772.1,5150308.14
14,Thursday,1024.0,1028.0,7041.0,184275.45,5324146.969999999
15,Friday,1031.0,1033.0,3585.0,119638.25,5345655.92
16,Saturday,713.0,705.0,864.0,23531.449999999997,3607181.2
17,Sunday,817.0,821.0,1677.0,48025.1,4217676.69
18,Monday,1033.0,1035.0,3226.0,91932.55,5350778.6
19,Tuesday,964.0,960.0,1296.0,43511.25,4920689.249999999
20,Wendsday,995.0,999.0,3053.0,96220.0,5144167.61
21,Thursday,1028.0,1029.0,4223.0,140608.55,5339797.06
22,Friday,1025.0,1025.0,13888.0,344793.05,5313901.8
23,Saturday,742.0,742.0,3749.0,102516.75,3801750.73
24,Sunday,949.0,955.0,2550.0,68203.0,4900326.449999999
25,Monday,1008.0,974.0,4572.0,116949.75,4983093.409999999
26,Tuesday,873.0,884.0,1611.0,53812.450000000004,4549888.21
27,Wendsday,973.0,998.0,2514.0,84843.40000000001,5159958.819999999
28,Thursday,1028.0,1029.0,2742.0,79240.0,5290371.109999999
29,Friday,1028.0,1031.0,3146.0,89159.15000000001,5313478.44
30,Saturday,687.0,679.0,987.0,30535.7,3484623.11
31,Sunday,753.0,756.0,6899.0,180454.95,3913481.79
32,Monday,959.0,981.0,10209.0,281995.35,5148310.14
33,Tuesday,949.0,955.0,5302.0,118152.5,4948011.949999999
34,Wendsday,994.0,997.0,5375.0,141174.55,5166198.78
35,Thursday,1023.0,1027.0,5269.0,126628.35,5276517.88
36,Friday,1027.0,1030.0,3734.0,128340.5,5359621.399999999
37,Saturday,754.0,746.0,1153.0,39655.15000000001,3827766.49
38,Sunday,945.0,931.0,2248.0,71599.0,4794196.89
39,Monday,997.0,1011.0,10377.0,273151.6,5340798.29
40,Tuesday,956.0,960.0,2932.0,94040.90000000001,4957012.3
41,Wendsday,998.0,999.0,2378.0,73735.65000000001,5142115.859999999
42,Thursday,1027.0,1029.0,4693.0,130378.1,5316831.609999999
43,Friday,1055.0,1069.0,5199.0,149905.05000000005,5568058.359999999
44,Saturday,729.0,695.0,3957.0,112068.0,3599382.6499999994
45,Sunday,808.0,836.0,2638.0,72943.25,4313913.69
46,Monday,997.0,987.0,20142.0,453210.35000000003,5190534.879999999
47,Tuesday,992.0,1029.0,17859.0,420325.75000000006,5465052.859999999
48,Wendsday,1040.0,1038.0,11652.0,258973.3,5408129.119999999
49,Thursday,1056.0,1057.0,8848.0,226145.3,5579857.129999999
50,Friday,1049.0,1050.0,9406.0,210665.2,5476306.100000001
51,Saturday,760.0,754.0,9023.0,203986.40000000002,3902600.06
52,Sunday,964.0,972.0,15110.0,364461.55000000005,5167212.829999999
53,Monday,1023.0,1027.0,9377.0,248176.84999999998,5397783.38
54,Tuesday,898.0,897.0,46859.0,762189.75,4543636.379999999
55,Wendsday,770.0,787.0,22887.0,407293.6,4059614.73
56,Thursday,984.0,982.0,12769.0,300602.6,5078678.179999999
57,Friday,1053.0,1051.0,6227.0,182266.15,5434493.039999999
58,Saturday,783.0,781.0,4731.0,147711.85,4057278.84
59,Sunday,961.0,952.0,20532.0,497613.05000000005,5043566.33
60,Monday,1066.0,1080.0,11594.0,277920.14999999997,5699160.149999999
61,Tuesday,1054.0,1048.0,16607.0,370616.80000000005,5460174.72
62,Wendsday,1051.0,1039.0,14345.0,292084.30000000005,5421543.51
63,Thursday,982.0,1003.0,25225.0,602436.2100000001,5386175.859999999
64,Friday,1073.0,1090.0,13391.0,336274.75000000006,5781232.049999999
65,Saturday,923.0,916.0,4364.0,128750.84999999999,4761408.49
66,Sunday,1050.0,1055.0,7110.0,203774.15,5549504.999999999
67,Monday,1084.0,1087.0,7872.0,212702.8,5716070.73
68,Tuesday,1074.0,1068.0,7150.0,109605.90000000001,5513354.22
69,Wendsday,1067.0,1075.0,8162.0,206243.06,5617931.39
70,Thursday,1089.0,1088.0,7814.0,210552.0,5626529.72
71,Friday,1088.0,1090.0,9514.0,234083.45,5594763.35
72,Saturday,923.0,920.0,5682.0,155154.75,4754532.350000001
73,Sunday,1063.0,1062.0,3763.0,107709.8,5481458.98
74,Monday,1088.0,1091.0,3114.0,102672.40000000001,5640510.489999999
75,Tuesday,1072.0,1067.0,3067.0,84418.90000000001,5504581.029999999
76,Wendsday,1069.0,1072.0,2841.0,85890.5,5528240.779999999
77,Thursday,1086.0,1088.0,8091.0,213877.25,5624987.37
78,Friday,1081.0,1081.0,14939.0,351556.75,5654559.54
79,Saturday,920.0,923.0,2997.0,93757.90000000001,4776790.869999999
80,Sunday,1061.0,1058.0,5492.0,156682.95,5444286.169999999
81,Monday,1080.0,1083.0,5864.0,128496.15000000001,5577244.319999999
82,Tuesday,1067.0,1066.0,3346.0,111586.9,5526994.44
83,Wendsday,1070.0,1073.0,5333.0,139674.65,5542291.919999999
